序号,项目名称,项目地点1,项目地点,造价,建设内容,未挂上
512,吴江高新区（盛泽镇）白龙桥路东侧WJ-J-2019-023地块住宅项目,盛泽镇白龙桥路2588号,苏州市盛泽镇白龙桥路2588号,22782.88,房屋建筑,
514,"吴江高新区（盛泽镇）蚬子荡南侧3#地块住宅项目（1#,2#,3#,5#,7#,配电房1,地下车库B）",吴江区盛泽镇,苏州市吴江区盛泽镇,17530.48,房屋建筑,
515,蚬子荡南侧2#AB地块三期（汇景名苑）（7#~11#、16#~20#、21#社区用房、4#~7#配电房、地下车库（三））,吴江区盛泽镇舜湖西路北侧,苏州市吴江区盛泽镇舜湖西路北侧,36146.19,房屋建筑,
516,吴中路生活污水管网工程,吴江区吴中路,苏州市吴江区吴中路,412.68,市政工程,
517,盛泽镇2020年农村生活污水治理工程（南塘村、永和村、茅塔村,吴江区盛泽镇,苏州市吴江区盛泽镇,663.29,市政工程,
518,盛泽镇2020年农村生活污水治理工程（红洲村、杨扇村）项目,吴江区盛泽镇,苏州市吴江区盛泽镇,1494.98,市政工程,
519,",盛泽镇2020年农村生活污水治理工程（圣塘村、坝里村）",吴江区,苏州市吴江区,1315.25,市政工程,
520,盛泽镇南部片区生活污水管网工程（南三环路、秀水路）一标段,吴江区盛泽镇,苏州市吴江区盛泽镇,1694.65,市政工程,
521,盛泽镇2019年第三批雨污分流综合改造工程（怀远路华生公房等）,吴江区盛泽镇,苏州市吴江区盛泽镇,1373.25,市政工程,
522,盛泽镇南部工业区4万吨/日污水处理及中水回用工程施工总承包,盛吴江区泽镇科技路以南、师古桥以东,苏州市盛吴江区泽镇科技路以南、师古桥以东,7830.08,房屋建筑,
523,盛泽镇2019年第三批雨污分流综合改造工程（影剧弄小区等）,吴江区盛泽镇,苏州市吴江区盛泽镇,1570.63,市政工程,
524,盛泽镇南部片区生活污水管网工程（南三环路、秀水路）二标段,吴江区盛泽镇,苏州市吴江区盛泽镇,1942.79,市政工程,
525,盛泽镇2019年第三批雨污分流综合改造工程（桥北新村一区等）,吴江区盛泽镇,苏州市吴江区盛泽镇,1526.37,市政工程,
526,桥北社区生活污水处理厂5000吨每日扩建工程,吴江区盛泽镇桥北荡南侧、盛家港泵站东侧,苏州市吴江区盛泽镇桥北荡南侧、盛家港泵站东侧,1281.38,市政工程,
527,鹰翔庄园及周边雨污分流综合改造工程,盛泽镇,苏州市盛泽镇,1035.28,市政工程,
13,新增建设年产工程机械部件2万套项目（一标段）,吴江市同津大道东侧、新字路北侧,苏州市吴江市同津大道东侧、新字路北侧,3315,房屋建筑,未挂上
39,吴江运东WJ-J-2020-012地块项目三期(1#楼--4#楼、8#楼--10#楼、14#楼、15#楼、19#楼、20#楼、24#--26#楼、（P2变电所、工具间）P3变电所、垃圾清洁房、门卫二、地下车库（三期））),吴江区太湖大道北侧、庞山路东侧,苏州市吴江区太湖大道北侧、庞山路东侧,22536,房屋建筑,未挂上
50,新建厂房15000平方米（不用于化工生产）项目（新建车间一),吴江区震泽镇工业开发区新乐路1158号,苏州市吴江区震泽镇工业开发区新乐路1158号,668,房屋建筑,未挂上
59,"吴江开发区（同里镇）庞东路东侧栅桥路南侧地块（WJ-J-2020-019）一期33-44#,D1#,D2#,垃圾收集站,地库一",吴江区庞东路东侧栅桥路南侧,苏州市吴江区庞东路东侧栅桥路南侧,66694.14,房屋建筑,未挂上
62,吴江运东WJ-J-2020-012地块项目二期(5-7#楼、11-13#楼、16-18#楼、21-23#楼、(P1#开关站、变电所)、P4#变电所、门卫一、地下车库）,东吴江区太湖大道北侧、庞山路东侧,苏州市东吴江区太湖大道北侧、庞山路东侧,24320,房屋建筑,未挂上
111,"新建厂房-新建厂房,门卫",吴江区益堂路北侧,苏州市吴江区益堂路北侧,2480,房屋建筑,未挂上
116,年产钢丝帘布裁断机22台,吴江区龙桥路东侧、益胜路南侧；白龙桥村、益胜路183号,苏州市吴江区龙桥路东侧、益胜路南侧；白龙桥村、益胜路183号,1000,房屋建筑,未挂上
117,吴江高级中学改扩建工程-综合教学楼工程,吴江区松陵镇中山北路801号,苏州市吴江区松陵镇中山北路801号,1907.87,房屋建筑,未挂上
118,明珠城9#地块1#、2#、5#、6#楼、地下车库（01区）、4#、5#配电房、3#门卫及垃圾房,吴江区江陵西路北、鲈乡北路西,苏州市吴江区江陵西路北、鲈乡北路西,12913,房屋建筑,未挂上
119,吴江高级中学改扩建工程—（南地块）艺体馆、食堂和（北地块）国际教育院土建工程,吴江区松陵镇中山北路801号,苏州市吴江区松陵镇中山北路801号,7349.53,房屋建筑,未挂上
124,锅炉房,八坼友谊工业园,苏州市八坼友谊工业园,263.16,房屋建筑,未挂上
128,苏州中学苏州湾校区土建施工总承包工程,吴江区太湖新城，中山南路以东、海沿漕以北、行船河以西、规划支路以南,苏州市吴江区太湖新城，中山南路以东、海沿漕以北、行船河以西、规划支路以南,55928.8,房屋建筑,未挂上
135,WJ-J-2017-015地块商服项目,吴江区七都镇沿湖路南侧、原庙港自来水厂地块,苏州市吴江区七都镇沿湖路南侧、原庙港自来水厂地块,3800,房屋建筑,未挂上
181,"年产168万件汽车零部件-车间,配电房",吴江区益胜路北侧,苏州市吴江区益胜路北侧,890,房屋建筑,未挂上
192,年产五金配件50万件（新建车间）项目,吴江区桃源镇开阳村,苏州市吴江区桃源镇开阳村,1578.55,房屋建筑,未挂上
197,内部装修-国讯新基物联（江苏）有限公司内部装修,江吴江区陵街道云创路229号2号楼四层,苏州市江吴江区陵街道云创路229号2号楼四层,70,装饰装修,未挂上
199,新建车间,吴江区桃源镇海润路399#,苏州市吴江区桃源镇海润路399#,166,房屋建筑,未挂上
247,江苏有线吴江分公司综合业务大楼项目,吴江区开平路以南，春兰街以东，夏蓉街以西,苏州市吴江区开平路以南，春兰街以东，夏蓉街以西,14686.54,房屋建筑,未挂上
258,步步高互联网软件园（高标准工业厂房）一标段,吴江区夏蓉街西侧，五方路北侧交叉口,苏州市吴江区夏蓉街西侧，五方路北侧交叉口,20091.39,房屋建筑,未挂上
264,太湖新城吴江联杨农贸市场南侧邻里中心地块施工总承包,吴江区东至锚锭路，南至中心路，西至鱼港路，北至思贤路,苏州市吴江区东至锚锭路，南至中心路，西至鱼港路，北至思贤路,25064.89,房屋建筑,未挂上
273,"东太湖大道南侧、夏蓉街西侧地块普通住宅项目-6#,7#,11#,5#,12#,13#,17#,18#,19#,22#,23#,25#,26#,27#,28#,29#,34#,35#,36#,40#,4",东吴江区太湖大道南侧、夏蓉街西侧地块,苏州市东吴江区太湖大道南侧、夏蓉街西侧地块,18888.81,房屋建筑,未挂上
277,"东太湖大道南侧、夏蓉街西侧地块普通住宅项目-49#,50#,51#,52#,53#,54#,55#,56#,57#,58#,59#,60#,106#,107#,108#,109#,110#,111#,",东吴江区太湖大道南侧、夏蓉街西侧地块,苏州市东吴江区太湖大道南侧、夏蓉街西侧地块,22273.75,房屋建筑,未挂上
278,"东太湖大道南侧、夏蓉街西侧地块普通住宅项目-61#,62#,63#,64#,65#,66#,67#,68#,69#,70#,71#,72#,73#,74#,75#,76#,77#,78#,79#,80",东吴江区太湖大道南侧、夏蓉街西侧地块,苏州市东吴江区太湖大道南侧、夏蓉街西侧地块,11692.63,房屋建筑,未挂上
280,"年产功能性聚酯薄膜、功能性塑料80万吨（B地块-1）-（BOPET车间一,BOPET车间三）",吴江区厍星路东侧、新黎路北侧,苏州市吴江区厍星路东侧、新黎路北侧,12511.62,房屋建筑,未挂上
281,年产功能性聚酯薄膜、功能性塑料80万吨（A地块）-BOPET车间五,吴江区厍星路东侧、新黎路北侧,苏州市吴江区厍星路东侧、新黎路北侧,6300,房屋建筑,未挂上
282,平望镇西新街及周边老旧小区改造工程,平吴江区望镇平运路、莺脰湖、西新街、荷花池、黄秧墩等,苏州市平吴江区望镇平运路、莺脰湖、西新街、荷花池、黄秧墩等,1041.12,装饰装修,未挂上
285,年产功能性聚酯薄膜、功能性塑料80万吨（A地块）（辅助车间一、辅助车间二、辅助车间三、辅助车间四、综合动力站、热媒MCC、总降站、污水处理站、热媒泵房）,吴江区厍星路东侧、新黎路北侧,苏州市吴江区厍星路东侧、新黎路北侧,10642.85,房屋建筑,未挂上
289,年产功能性聚酯薄膜、功能性塑料80万吨 (B地块-1)（BOPET车间二、BOPET车间四）,吴江区厍星路东侧、新黎路北侧,苏州市吴江区厍星路东侧、新黎路北侧,12500,房屋建筑,未挂上
292,年产功能性聚酯薄膜、功能性塑料80万吨（A地块）（BOPET车间六）,吴江区厍星路东侧、新黎路北侧,苏州市吴江区厍星路东侧、新黎路北侧,6031,房屋建筑,未挂上
294,年产光电子集成芯片 1500 万片（一 期：食堂）,吴江区汾湖高新区新黎路南侧,苏州市吴江区汾湖高新区新黎路南侧,650,房屋建筑,未挂上
299,WJ-J-2019-024、WJ-J-2019-025地块住宅项目二期工程总承包,吴江区汾湖高新区（黎里镇）洋砂荡东,苏州市吴江区汾湖高新区（黎里镇）洋砂荡东,25911.25,房屋建筑,未挂上
317,5#车间、危废品库,汾吴江区湖高新区新黎路北侧、常嘉高速西侧,苏州市汾吴江区湖高新区新黎路北侧、常嘉高速西侧,2018,房屋建筑,未挂上
319,"WJ-J-2020-025地块商住项目(1#-17#,S1#-S3#配套用房,地下车库)",吴江区杨清河路南侧，城司路北侧，海南路东侧，江苏路西侧,苏州市吴江区杨清河路南侧，城司路北侧，海南路东侧，江苏路西侧,27740.34,房屋建筑,未挂上
322,大型购物中心及商务楼项目-吴江金鼎世纪购物广场B楼,吴江市汾湖镇芦莘大道以东-城司路以北,苏州市吴江市汾湖镇芦莘大道以东-城司路以北,12500,房屋建筑,未挂上
323,苏州市吴江汾湖高新区WJ-J-2020-26号地块(1-14#楼、A1-A3#楼、地下车库),吴江区汾湖高新区(黎里镇)工力铸造地块,苏州市吴江区汾湖高新区(黎里镇)工力铸造地块,23555.45,房屋建筑,未挂上
324,年产光电子集成芯片1500万片（一期：厂房一、仓库、门卫（一）、泵房水池）,吴江区汾湖高新区新黎路南侧,苏州市吴江区汾湖高新区新黎路南侧,10073.86,房屋建筑,未挂上
329,苏州市吴江汾湖高新区WJ-J-2020-26号地块（15#楼）,汾吴江区湖高新区（黎里镇）工力铸造地块,苏州市汾吴江区湖高新区（黎里镇）工力铸造地块,371.77,房屋建筑,未挂上
335,2#饮品车间、3#污水处理池,吴江区黎里镇临沪中路南侧文昌路168号,苏州市吴江区黎里镇临沪中路南侧文昌路168号,2400,房屋建筑,未挂上
336,平望康养中心项目,吴江区平望镇梅堰社区頔塘河南侧,苏州市吴江区平望镇梅堰社区頔塘河南侧,8593.41,房屋建筑,未挂上
363,年产智能多适应转杯纺纱机66台-车间,吴江区黎里镇越秀路北侧,苏州市吴江区黎里镇越秀路北侧,5500,房屋建筑,未挂上
370,汾湖高新技术产业开发区新友花苑二期北地块工程,吴江区汾湖高新区区域内,苏州市吴江区汾湖高新区区域内,28126.57,房屋建筑,未挂上
376,新建半导体生产厂房等项目-(4座气站、5座仓库、1栋门卫、事故池1和2、埋地油罐基础、产品检验楼）,吴江区汾湖高新区新黎路北侧来秀路东侧,苏州市吴江区汾湖高新区新黎路北侧来秀路东侧,9998.72,房屋建筑,未挂上
379,WJ-J-2018-022地块住宅项目（6#住宅、14#住宅）,平吴江区望镇新百盛路东混水路南侧,苏州市平吴江区望镇新百盛路东混水路南侧,1738.76,房屋建筑,未挂上
403,黎里周宫傅路道路工程建设项目-黎里周宫傅路道路工程,吴江区汾湖高新区黎里区域内,苏州市吴江区汾湖高新区黎里区域内,372.78,市政工程,未挂上
445,吴江区 2019-2020 年高质量推进城乡生活污水治理工程（市政集团第一期）-富乡大道、麻溪路,吴江区桃源镇,苏州市吴江区桃源镇,796.94,市政工程,未挂上
453,"吴江高新区（盛泽镇）绸都大道西侧1#地块住宅项目-1号楼,2号楼,3号楼,4号楼,5号楼,6号楼,7号楼,8号楼,9号楼,清洁屋1,清洁屋2,1号配电房,2号配电房,3号配电房,门卫,地下车库",吴江高新区（盛泽镇）绸都大道西侧1#地块,苏州市吴江高新区（盛泽镇）绸都大道西侧1#地块,46164.98,房屋建筑,未挂上
476,学之客栈景点工程,吴江区盛泽大道与东方中路交叉口东北侧,苏州市吴江区盛泽大道与东方中路交叉口东北侧,4448.02,房屋建筑,未挂上
501,"吴江高新区（盛泽镇）绸都大道西侧2#地块住宅项目-2号楼,4号楼,7号楼,9号楼,10号楼,门卫,清洁屋1,1号配电房,地下室车库二标段",吴江高新区（盛泽镇）绸都大道西侧2#地块,苏州市吴江高新区（盛泽镇）绸都大道西侧2#地块,35935.3,房屋建筑,未挂上
502,"吴江高新区（盛泽镇）绸都大道西侧2#地块住宅项目-3号楼,5号楼,6号楼,8号楼,11号楼,2号配电房,3号配电房,清洁屋2,地下车库一标段",吴江盛泽镇绸都大道西侧舜湖西路南侧2#地块,苏州市吴江盛泽镇绸都大道西侧舜湖西路南侧2#地块,31656.09,房屋建筑,未挂上
513,吴江高新区（盛泽镇）蚬子荡南侧3#地块住宅项目-6#、8#~11#、配电房2、垃圾房、地库A,苏州市吴江区高新区（盛泽镇）蚬子荡南侧3#地块,苏州市苏州市吴江区高新区（盛泽镇）蚬子荡南侧3#地块,16300,房屋建筑,未挂上
